Domain,Identities Count,Added by,Trust Level,Identity status - Scout account are more than EXT account,Scout Count,External Count,Total Identities
lsautomotive.com,2,Cyera,External,Less than half,0,2,2
macrix.eu,2,Cyera,External,More than half,2,0,2
malorg.de,2,Cyera,External,More than half,2,0,2
materialsciencecorp.com,2,Cyera,External,Less than half,0,2,2
merit-automotive.com,2,Cyera,External,Less than half,0,2,2
merrillsteel.com,2,Cyera,External,Less than half,0,2,2
modernpolymers.com,2,Cyera,External,More than half,1,1,2
morath.net,2,Cyera,External,More than half,2,0,2
motherson.com,2,Cyera,External,More than half,1,1,2
muthco.com,2,Cyera,External,Less than half,0,2,2
mx.brembo.com,2,Cyera,External,Less than half,0,2,2
mx.truck-lite.com,2,Cyera,External,Less than half,0,2,2
na.denso.com,2,Cyera,External,Less than half,0,2,2
nimblebrain.ai,2,Cyera,External,More than half,2,0,2
nmbtc.com,2,Cyera,External,Less than half,0,2,2
nvhk.onmicrosoft.com,2,Cyera,External,Less than half,0,2,2
ogletree.com,2,Cyera,External,Less than half,0,2,2
pasubio.com,2,Cyera,External,Less than half,0,2,2
pcscustomtraining.com,2,Cyera,External,Less than half,0,2,2
pemnet.com,2,Cyera,External,Less than half,0,2,2
plasticomnium.com,2,Cyera,External,Less than half,0,2,2
premiumsoundsolutions.com,2,Cyera,External,Less than half,0,3,3
presidio.com,2,Cyera,External,Less than half,0,2,2
prestigeeng.com,2,Cyera,External,Less than half,0,2,2
pull.systems,2,Cyera,External,Less than half,0,2,2
purem.com,2,Cyera,External,Less than half,0,2,2
qinlox.com,2,Cyera,External,More than half,2,0,2
ramp-space.com,2,Cyera,External,Less than half,0,2,2
rema-gmbh.net,2,Cyera,External,Less than half,0,2,2
rhinotoolhouse.com,2,Cyera,External,Less than half,0,2,2
richlandcountysc.gov,2,Cyera,External,Less than half,0,2,2
rivian.com,2,Cyera,External,Less than half,0,2,2
sbdinc.com,2,Cyera,External,Less than half,0,2,2
scherdel.com,2,Cyera,External,Less than half,0,2,2
sellhorn-hamburg.de,2,Cyera,External,More than half,2,0,2
shapecorp.com,2,Cyera,External,Less than half,0,2,2
shbna.com,2,Cyera,External,Less than half,0,2,2
stabilus.com,2,Cyera,External,Less than half,0,2,2
standardprofil.com,2,Cyera,External,Less than half,0,2,2
storeypm.com,2,Cyera,External,More than half,1,1,2
strama-mps.us,2,Cyera,External,Less than half,0,2,2
sturm-gruppe.com,2,Cyera,External,Less than half,0,2,2
supp.ly,2,Cyera,External,Less than half,0,2,2
tecna-usa.com,2,Cyera,External,Less than half,0,2,2
thaisummit.com,2,Cyera,External,Less than half,0,2,2
theatlantic.com,2,Cyera,External,Less than half,0,2,2
tifs.com,2,Cyera,External,Less than half,0,2,2
topqm.com,2,Cyera,External,Less than half,0,2,2
trimech.com,2,Cyera,External,More than half,2,0,2
trinityconsultants.com,2,Cyera,External,Less than half,0,2,2
ttci.ca,2,Cyera,External,Less than half,0,2,2
vero-watch.com,2,Cyera,External,Less than half,0,2,2
vitro.com,2,Cyera,External,Less than half,0,2,2
volkswagen.sk,2,Cyera,External,Less than half,2,3,5
vorwerk-automotive.mx,2,Cyera,External,Less than half,0,2,2
voya.com,2,Cyera,External,More than half,2,0,2
vwfs.com,2,Cyera,External,Less than half,0,2,2
vwgk.co.kr,2,Cyera,External,More than half,1,1,2
vwimmobilien.de,2,Cyera,External,Less than half,0,2,2
vw-navarra.es,2,Cyera,External,More than half,1,1,2
waupacafoundry.com,2,Cyera,External,Less than half,0,2,2
withspinoza.com,2,Cyera,External,Less than half,0,2,2
xandor.com,2,Cyera,External,Less than half,0,2,2
2022consulting.com,1,Cyera,External,Less than half,0,1,1
3dscanit.com,1,Cyera,External,Less than half,0,1,1
4rivers-engineering.com,1,Cyera,External,More than half,1,0,1
7thsr.com,1,Cyera,External,Less than half,0,1,1
accurcast.com,1,Cyera,External,Less than half,0,1,1
acpcnet.org,1,Cyera,External,Less than half,0,1,1
adacautotive.com,1,Cyera,External,Less than half,0,1,1
adaptivgs.com,1,Cyera,External,Less than half,0,1,1
adlerpelzer.com,1,Cyera,External,Less than half,0,1,1
admin.sc.gov,1,Cyera,External,Less than half,0,1,1
afsamerica.co.kr,1,Cyera,External,Less than half,0,1,1
aftbz.de,1,Cyera,External,Less than half,0,1,1
aft-group.de,1,Cyera,External,Less than half,0,1,1
ahc-gmbh.de,1,Cyera,External,More than half,2,0,2
aircom.ag,1,Cyera,External,Less than half,0,1,1
ai-technologie.com,1,Cyera,External,Less than half,0,1,1
aiut.com,1,Cyera,External,Less than half,0,1,1
allanportilho.com,1,Cyera,External,Less than half,0,1,1
alparmetals.com,1,Cyera,External,Less than half,0,1,1
amer.teams.ms,1,Cyera,External,Less than half,0,1,1
ams-osram.com,1,Cyera,External,Less than half,0,1,1
anandnvh.com,1,Cyera,External,Less than half,0,1,1
apm-sc.com,1,Cyera,External,More than half,1,0,1
apogeepart.com,1,Cyera,External,Less than half,0,1,1
aptiv.com,1,Cyera,External,Less than half,0,1,1
atlassian.net,1,Cyera,External,Less than half,0,2,2
att.net,1,Cyera,External,Less than half,0,13,13
audi.com,1,Cyera,External,Less than half,0,1,1
auomsc.com,1,Cyera,External,Less than half,0,1,1
avanade.com,1,Cyera,External,Less than half,0,1,1
avantegardewheels.com,1,Cyera,External,Less than half,0,1,1
avantgardewheels.com,1,Cyera,External,Less than half,0,1,1
avl.com,1,Cyera,External,Less than half,0,1,1
aws-ce.com,1,Cyera,External,Less than half,0,1,1
babstcalland.com,1,Cyera,External,Less than half,0,1,1
bader-leather.com,1,Cyera,External,Less than half,0,1,1
bader.media,1,Cyera,External,Less than half,0,1,1
baoduncoltd.com,1,Cyera,External,Less than half,0,1,1
batz.com,1,Cyera,External,More than half,1,0,1
bellsouth.net,1,Cyera,External,Less than half,0,4,4
benedict.edu,1,Cyera,External,Less than half,0,1,1
benefitfocus.com,1,Cyera,External,More than half,1,0,1
benpham.co,1,Cyera,External,Less than half,0,1,1
bitron.group,1,Cyera,External,Less than half,0,1,1
bluefirellc.com,1,Cyera,External,Less than half,0,1,1
bp.music.yamaha.com,1,Cyera,External,Less than half,0,1,1
brownworksllc.com,1,Cyera,External,Less than half,0,1,1
bss-bohnenberg.de,1,Cyera,External,More than half,1,0,1
bss-logisq.com,1,Cyera,External,More than half,1,0,1
cablecraft.com,1,Cyera,External,More than half,1,0,1
cadwell.de,1,Cyera,External,More than half,1,0,1
cajpllc.com,1,Cyera,External,Less than half,0,1,1
caresoftglobal.com,1,Cyera,External,Less than half,0,1,1
carstudio.it,1,Cyera,External,More than half,1,0,1
carstudio.us,1,Cyera,External,More than half,1,0,1
carthane.com,1,Cyera,External,Less than half,0,1,1
cdstrategies.net,1,Cyera,External,More than half,1,0,1
centralconveyor.com,1,Cyera,External,Less than half,0,1,1
cesconsulting.com,1,Cyera,External,Less than half,0,1,1
